,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
3644,3720.0,KIKO2017圣诞限定口红02 03 北欧假日冰川系列 金属哑光唇膏,129.0,63.0,香港 香港岛,farmacity海外旗舰店,//detail.tmall.com/item.htm?id=564679100842&ns=1&abbucket=13,8127.0,天猫,商家,其他,120-140,香港, 香港岛
3646,3722.0,曼秀雷敦唇膏什果冰男女口红滋润保湿防干裂天然蜂蜜薄荷变色唇膏,16.9,1642.0,浙江 衢州,穗桦化妆品专营店,//detail.tmall.com/item.htm?id=541234573954&ns=1&abbucket=13,27749.8,天猫,商家,其他,0-20,浙江, 衢州
3647,3723.0,TOM FORD TF汤姆福特口红黑金黑管唇膏2/3g 9#15#16# 香港直邮,199.0,189.0,香港 九龙,梓薇国际海外专营店,//detail.tmall.com/item.htm?id=558687933198&ns=1&abbucket=13,37611.0,天猫,商家,Ford/福特,180-200,香港, 九龙
3648,3724.0,minilab 迷你烧瓶口红润唇膏持久保湿不易掉色学生咬唇妆礼品正品,99.0,99.0,广东 广州,娇兰佳人化妆品旗舰店,//detail.tmall.com/item.htm?id=562661153720&ns=1&abbucket=13,9801.0,天猫,商家,其他,80-100,广东, 广州
3650,3726.0,巧迪尚惠唇釉唇蜜乳唇彩保湿滋润不易脱色防水长效口红染唇液学生,59.0,476.0,广东 广州,巧迪尚惠旗舰店,//detail.tmall.com/item.htm?id=41040712104&ns=1&abbucket=13,28084.0,天猫,商家,其他,40-60,广东, 广州
3651,3727.0,美宝莲雾感哑光唇膏干枫叶女皇色r09口红mnu09正品专柜官方旗舰店,93.0,228.0,上海,美宝莲小宅专卖店,//detail.tmall.com/item.htm?id=553350262411&ns=1&abbucket=13,21204.0,天猫,商家,Maybelline/美宝莲,80-100,上海,上海
3653,3729.0,美宝莲口红小灯管唇膏23纵情耀系列保湿滋润大红色官方旗舰店正品,94.0,218.0,上海,美宝莲中联专卖店,//detail.tmall.com/item.htm?id=558391360823&ns=1&abbucket=13,20492.0,天猫,商家,Maybelline/美宝莲,80-100,上海,上海
3687,3765.0,【直营】Milani口红可爱 少女心哑光人鱼姬唇膏美国正品,68.0,162.0,浙江 杭州,天猫国际官方直营,//detail.tmall.com/item.htm?id=561725616958&ns=1&abbucket=13,11016.0,天猫,商家,其他,60-80,浙江, 杭州
3690,3768.0,顾里色学生平价卖口红非山君不离抖音ins超火的狗姑奶奶的套装,29.9,2122.0,上海,伽优旗舰店,//detail.tmall.com/item.htm?id=526950900373&ns=1&abbucket=13,63447.799999999996,天猫,商家,其他,20-40,上海,上海
3695,3773.0,兰瑟魅惑唇膏滋润复古大红裸妆易上色有色不易沾杯学生可爱女口红,64.8,90.0,河南 郑州,lansur兰瑟聚福隆专卖店,//detail.tmall.com/item.htm?id=45581982053&ns=1&abbucket=13,5832.0,天猫,商家,其他,60-80,河南, 郑州
