,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel
64,99.0,Givenchy/纪梵希禁忌之吻霓虹黑管口红新款漆光唇膏 N25/N11/N6,195.0,164.0,广东 深圳,samsamzhu,//item.taobao.com/item.htm?id=554497585607&ns=1&abbucket=13#detail,31980.0,其他,个人,Givenchy/纪梵希,180-200
65,100.0,【迪奥品牌日】Dior烈艳蓝金唇膏口红正品999/888/520滋润哑光,191.0,1448.0,浙江 杭州,zhwei9,//item.taobao.com/item.htm?id=36410383997&ns=1&abbucket=13#detail,276568.0,其他,个人,Dior/迪奥,180-200
66,102.0,大理石纹持久保湿不脱色学生初学者西柚粉土橘南瓜色咬唇妆狗口红,48.0,343.0,广东 汕头,冰之恋化妆品旗舰店,//detail.tmall.com/item.htm?id=567013562907&ns=1&abbucket=13,16464.0,天猫,商家,其他,40-60
67,103.0,【直营】TOM FORD汤姆福特黑金黑管唇膏口红tf口红8 9 10 15 16,389.0,2473.0,浙江 杭州,天猫国际官方直营,//detail.tmall.com/item.htm?id=548916330692&ns=1&abbucket=13,961997.0,天猫,商家,Ford/福特,380-400
68,104.0,CL唇膏现货Christian Louboutin萝卜丁女王权杖口红CL黑管刻字,719.0,324.0,广东 广州,hannah0110,//item.taobao.com/item.htm?id=537952490088&ns=1&abbucket=13#detail,232956.0,其他,个人,其他,400以上
69,105.0,现货▲Dior迪奥17圣诞限量金管持久蜡笔口红唇膏 姨妈色#341#741,389.0,23.0,浙江 杭州,eashion_1988,//item.taobao.com/item.htm?id=563218936173&ns=1&abbucket=13#detail,8947.0,其他,个人,Dior/迪奥,380-400
70,106.0,YSL圣罗兰圆管口红迷魅惑唇膏 斩男色9/12/46/13/57/45/14号色,187.0,2960.0,上海,叶彬儿,//item.taobao.com/item.htm?id=39756186102&ns=1&abbucket=13#detail,553520.0,其他,个人,ysl/圣罗兰,180-200
71,107.0,MAC/魅可星闪唇 Glittery正品子弹头口红唇膏 保湿不沾杯cockney,170.0,4417.0,浙江 杭州,mac魅可官方旗舰店,//detail.tmall.com/item.htm?id=564873877199&ns=1&abbucket=13,750890.0,天猫,商家,MAC/魅可,160-180
72,108.0,泰国nani唇釉丝绒哑光雾面口红持久防水不脱色正品红棕510脏橘528,45.0,5197.0,安徽 六安,秋子mmmm,//item.taobao.com/item.htm?id=563520366316&ns=1&abbucket=13#detail,233865.0,其他,个人,其他,40-60
73,109.0,卡姿兰口红套装持久保湿不脱色不沾杯韩国防水小样礼抖音同款正品,99.0,7757.0,北京,卡姿兰宏达美景专卖店,//detail.tmall.com/item.htm?id=564333421411&ns=1&abbucket=13,767943.0,天猫,商家,其他,80-100
74,110.0,现货美国正品CL萝卜丁口红唇膏唇釉女王权杖口支持香港发货,699.0,107.0,北京,windycheng,//item.taobao.com/item.htm?id=557459756961&ns=1&abbucket=13#detail,74793.0,其他,个人,其他,400以上
75,111.0,Dior/迪奥口红烈艳蓝金唇膏999/520/888哑光滋润双色夹心专柜正品,227.0,3783.0,江苏 常州,进鑫铭帮化妆品专营店,//detail.tmall.com/item.htm?id=37828059959&ns=1&abbucket=13,858741.0,天猫,商家,Dior/迪奥,220-240
76,112.0,卡姿兰口红小样套装持久保湿不脱色韩国防水不沾杯盒抖音同款正品,99.0,10051.0,北京,卡姿兰瑞鼎诚专卖店,//detail.tmall.com/item.htm?id=563912164923&ns=1&abbucket=13,995049.0,天猫,商家,其他,80-100
77,113.0,口红正品持久保湿不脱色不沾杯防水滋润学生枫叶红抖音同款非韩国,39.9,18138.0,广东 广州,肌肤之食旗舰店,//detail.tmall.com/item.htm?id=558487189291&ns=1&abbucket=13,723706.2,天猫,商家,其他,20-40
78,114.0,正品MAC魅可口红唇膏多色小辣椒 mocha cockney CB96西柚色人鱼色,119.0,2725.0,浙江 金华,zhangzan0430,//item.taobao.com/item.htm?id=551538187858&ns=1&abbucket=13#detail,324275.0,其他,个人,MAC/魅可,100-120
79,115.0,欧莱雅彩妆纷泽滋润唇膏南瓜色口红619持久保湿不脱色防水正品,119.9,11327.0,江苏 苏州,欧莱雅彩妆旗舰店,//detail.tmall.com/item.htm?id=563367801510&ns=1&abbucket=13,1358107.3,天猫,商家,其他,100-120
